Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-10-30,21:57:39,"""CNR9131991""",Completed,"""CID1274816""",eBike,Rajouri Garden,Rohini East,9.7,17.7,,,,,,,890.0,41.61,4.9,3.8,UPI
2024-07-02,19:09:44,"""CNR5059748""",Cancelled by Customer,"""CID6838417""",Auto,Gurgaon Railway Station,Udyog Bhawan,15.2,,1.0,Change of plans,,,,,,,,,
2024-12-05,12:31:46,"""CNR2632708""",Completed,"""CID5754730""",Go Mini,Nawada,Keshav Puram,6.8,25.7,,,,,,,91.0,41.58,4.2,4.3,UPI
2024-04-22,11:27:37,"""CNR6755850""",Completed,"""CID6300952""",Auto,Paschim Vihar,IMT Manesar,8.7,33.7,,,,,,,51.0,13.24,4.5,4.9,Cash
2024-09-13,18:27:24,"""CNR8343998""",Completed,"""CID2949663""",eBike,Anand Vihar ISBT,Ghitorni,2.9,35.4,,,,,,,194.0,12.2,4.3,4.9,Cash
2024-05-15,06:41:30,"""CNR3765017""",Incomplete,"""CID5108407""",Premier Sedan,Sikanderpur,Inderlok,2.7,16.2,,,,,1.0,Other Issue,414.0,9.01,,,Uber Wallet
2024-06-30,20:46:10,"""CNR6813118""",Completed,"""CID7974463""",Go Mini,Panipat,Delhi Gate,10.6,25.9,,,,,,,589.0,34.88,4.6,4.4,UPI
2024-03-24,10:58:09,"""CNR5853903""",Cancelled by Driver,"""CID7547302""",Auto,Saidulajab,Cyber Hub,6.7,,,,1.0,Customer related issue,,,,,,,
2024-03-28,22:25:05,"""CNR4008638""",Cancelled by Customer,"""CID6277940""",Auto,Lok Kalyan Marg,Ramesh Nagar,15.7,,1.0,Wrong Address,,,,,,,,,
2024-01-31,17:20:59,"""CNR2355935""",Completed,"""CID3030248""",Go Mini,Ramesh Nagar,Meerut,11.7,22.6,,,,,,,998.0,16.84,4.4,4.6,Uber Wallet
2024-10-01,19:14:46,"""CNR1772242""",Completed,"""CID5654275""",Go Mini,Civil Lines Gurgaon,Sultanpur,14.1,15.1,,,,,,,164.0,13.7,4.3,4.6,UPI
2024-09-19,08:12:06,"""CNR1408387""",Completed,"""CID7137042""",Auto,Madipur,Panipat,14.6,41.2,,,,,,,449.0,31.27,4.2,4.6,Credit Card
2024-09-15,07:33:04,"""CNR9156336""",Completed,"""CID3323795""",Auto,Mehrauli,Golf Course Road,13.4,26.0,,,,,,,665.0,47.5,5.0,4.6,Cash
2024-09-13,08:55:15,"""CNR4640613""",Completed,"""CID3315860""",Auto,Kanhaiya Nagar,Govindpuri,9.4,15.1,,,,,,,927.0,37.3,3.7,4.9,Credit Card
2024-11-30,16:02:53,"""CNR2117972""",Completed,"""CID3050206""",Auto,Mansarovar Park,Rohini East,11.7,27.5,,,,,,,1289.0,17.39,4.9,4.3,Debit Card
2024-07-23,17:38:27,"""CNR3515167""",Completed,"""CID8912273""",Go Mini,Moolchand,Paharganj,13.3,37.1,,,,,,,332.0,35.4,3.1,4.2,Cash
2024-06-24,09:55:14,"""CNR1445441""",Completed,"""CID6052284""",Auto,Noida Sector 62,Peeragarhi,11.6,43.2,,,,,,,54.0,32.05,4.1,4.3,UPI
2024-07-02,10:31:01,"""CNR9013796""",Cancelled by Driver,"""CID2767783""",Auto,Vidhan Sabha,Greater Noida,3.2,,,,1.0,Customer related issue,,,,,,,
2024-11-29,14:04:40,"""CNR2247090""",Completed,"""CID5141792""",Go Mini,Nirman Vihar,Old Gurgaon,4.8,24.1,,,,,,,380.0,11.71,4.2,4.2,Cash
2024-04-19,07:57:51,"""CNR9157302""",Completed,"""CID7273968""",Go Mini,Malviya Nagar,Rajouri Garden,5.0,33.4,,,,,,,559.0,9.33,5.0,3.8,Cash
2024-05-22,20:11:26,"""CNR4429135""",Completed,"""CID8934319""",Auto,Jahangirpuri,Nehru Place,10.1,15.6,,,,,,,287.0,21.93,4.3,4.6,Cash
2024-07-24,15:47:40,"""CNR6096182""",Completed,"""CID4946663""",Premier Sedan,Sadar Bazar Gurgaon,IGNOU Road,2.3,16.2,,,,,,,783.0,14.27,4.4,5.0,Credit Card
2024-11-26,21:02:48,"""CNR8669137""",Cancelled by Driver,"""CID7327229""",Go Sedan,Huda City Centre,Lal Quila,4.2,,,,1.0,Personal & Car related issues,,,,,,,
2024-05-23,07:47:10,"""CNR2761818""",Completed,"""CID2607915""",Go Mini,Ghitorni,Preet Vihar,2.6,42.5,,,,,,,281.0,36.04,4.2,5.0,UPI
2024-03-31,22:37:38,"""CNR1314556""",Completed,"""CID4630030""",Go Sedan,Gurgaon Railway Station,Subhash Nagar,8.6,15.2,,,,,,,907.0,8.01,4.5,4.6,UPI
2024-04-28,22:45:17,"""CNR5804356""",Completed,"""CID4625698""",Go Mini,Nawada,Chhatarpur,9.2,32.3,,,,,,,216.0,14.09,3.8,3.9,Cash
2024-05-14,06:59:13,"""CNR7259358""",Cancelled by Customer,"""CID6353091""",Go Mini,Subhash Chowk,Cyber Hub,19.1,,1.0,Driver asked to cancel,,,,,,,,,
2024-01-03,14:18:41,"""CNR6049475""",Cancelled by Driver,"""CID2108447""",Go Mini,Udyog Bhawan,Saket A Block,7.3,,,,1.0,The customer was coughing/sick,,,,,,,
2024-03-29,10:38:57,"""CNR4712257""",Completed,"""CID3074258""",eBike,Civil Lines Gurgaon,Mansarovar Park,12.3,42.4,,,,,,,575.0,15.15,3.3,4.3,Cash
2024-01-20,15:14:37,"""CNR1790612""",Completed,"""CID8096536""",Premier Sedan,Vasant Kunj,Chirag Delhi,2.2,29.2,,,,,,,551.0,27.92,4.7,4.7,UPI
2024-10-31,03:48:13,"""CNR9146857""",Completed,"""CID4316722""",Go Mini,Dwarka Sector 21,Ardee City,2.5,26.6,,,,,,,194.0,2.68,4.3,4.9,Cash
2024-01-26,13:57:22,"""CNR1035974""",Completed,"""CID7303026""",Go Mini,Mayur Vihar,Samaypur Badli,13.4,30.2,,,,,,,3011.0,20.44,4.6,4.4,Uber Wallet
2024-03-30,14:33:58,"""CNR8353614""",Completed,"""CID3097122""",Auto,Akshardham,Rohini,12.4,15.7,,,,,,,557.0,35.32,4.9,4.9,Debit Card
2024-10-24,15:08:55,"""CNR3054870""",Completed,"""CID7914061""",Premier Sedan,Preet Vihar,Saket,13.4,37.1,,,,,,,526.0,37.43,4.3,4.9,Debit Card
2024-06-21,07:01:12,"""CNR8684093""",Completed,"""CID4283856""",Auto,Sadar Bazar Gurgaon,Moolchand,4.0,43.5,,,,,,,344.0,24.73,4.5,4.5,Credit Card
2024-05-15,19:52:59,"""CNR8176925""",Cancelled by Driver,"""CID8741967""",Go Mini,Kashmere Gate ISBT,Shivaji Park,5.3,,,,1.0,Personal & Car related issues,,,,,,,
2024-11-01,09:30:08,"""CNR2696269""",Completed,"""CID8665147""",Go Sedan,Udyog Vihar,Nirman Vihar,4.6,23.2,,,,,,,284.0,3.01,3.9,3.9,Cash
2024-05-18,00:47:00,"""CNR4309033""",Completed,"""CID3487658""",Bike,Noida Sector 18,Aya Nagar,8.3,31.9,,,,,,,782.0,49.31,4.6,4.6,Cash
2024-04-15,18:46:48,"""CNR9685370""",Completed,"""CID3247866""",Auto,Inderlok,Chirag Delhi,4.4,43.3,,,,,,,504.0,36.42,3.9,4.9,UPI
2024-01-10,00:06:44,"""CNR1673050""",Completed,"""CID9551448""",Auto,Mayur Vihar,Azadpur,3.3,22.5,,,,,,,89.0,16.56,3.7,4.9,Cash
2024-10-24,20:29:07,"""CNR4217886""",Completed,"""CID3703479""",Auto,Anand Vihar ISBT,Lajpat Nagar,9.9,37.4,,,,,,,923.0,48.07,4.7,4.6,UPI
2024-03-20,01:46:49,"""CNR6109615""",Cancelled by Customer,"""CID8555481""",Bike,Khan Market,Udyog Vihar,7.6,,1.0,Wrong Address,,,,,,,,,
2024-07-15,18:31:06,"""CNR1816902""",Completed,"""CID6135681""",Go Sedan,Pragati Maidan,Noida Sector 18,13.0,17.8,,,,,,,235.0,6.83,4.8,4.2,Debit Card
2024-04-18,18:12:26,"""CNR7264471""",Completed,"""CID1402376""",Go Sedan,Sarojini Nagar,Greater Kailash,11.6,37.1,,,,,,,483.0,2.66,4.2,4.1,UPI
2024-04-15,12:00:39,"""CNR5882139""",Cancelled by Driver,"""CID8082672""",Bike,India Gate,Anand Vihar ISBT,10.3,,,,1.0,More than permitted people in there,,,,,,,
2024-12-16,19:32:58,"""CNR1339910""",No Driver Found,"""CID8119593""",Bike,DLF Phase 3,Hauz Khas,,,,,,,,,,,,,
2024-09-16,10:23:03,"""CNR8436580""",Completed,"""CID1068130""",Auto,Sadar Bazar Gurgaon,Indirapuram,8.7,34.1,,,,,,,272.0,21.24,4.0,4.6,Cash
2024-02-15,19:09:30,"""CNR8299064""",Completed,"""CID7328002""",Bike,Karol Bagh,Khan Market,8.9,19.3,,,,,,,411.0,10.2,4.2,4.9,Uber Wallet
2024-05-10,07:56:48,"""CNR8178849""",Cancelled by Driver,"""CID5688423""",Premier Sedan,Saidulajab,Kaushambi,5.9,,,,1.0,Customer related issue,,,,,,,
2024-10-05,00:56:35,"""CNR2893219""",Completed,"""CID3979343""",Bike,Moti Nagar,Vishwavidyalaya,12.5,44.3,,,,,,,985.0,37.71,3.5,4.6,Uber Wallet
2024-09-16,20:56:54,"""CNR7875594""",No Driver Found,"""CID7232517""",Auto,Tilak Nagar,Basai Dhankot,,,,,,,,,,,,,
2024-03-11,19:48:15,"""CNR7243892""",Completed,"""CID8729903""",Auto,Satguru Ram Singh Marg,Vinobapuri,13.9,29.4,,,,,,,710.0,18.65,3.8,4.4,Debit Card
2024-03-04,08:15:31,"""CNR5406061""",Cancelled by Driver,"""CID7565728""",Go Mini,Faridabad Sector 15,Manesar,10.4,,,,1.0,Personal & Car related issues,,,,,,,
2024-01-26,08:53:08,"""CNR5231756""",Incomplete,"""CID3801124""",Auto,Lal Quila,Bahadurgarh,2.4,10.5,,,,,1.0,Other Issue,222.0,3.9,,,Debit Card
2024-10-29,14:29:24,"""CNR2254797""",Completed,"""CID5148996""",Auto,Vidhan Sabha,India Gate,10.8,30.3,,,,,,,258.0,8.91,4.4,4.2,UPI
2024-08-23,06:09:24,"""CNR8833601""",Cancelled by Driver,"""CID6707694""",Auto,Rajiv Chowk,Nawada,6.8,,,,1.0,Personal & Car related issues,,,,,,,
2024-03-13,19:26:50,"""CNR7567491""",No Driver Found,"""CID7309313""",Go Sedan,Rithala,Bhiwadi,,,,,,,,,,,,,
2024-06-01,11:53:58,"""CNR5743573""",Cancelled by Customer,"""CID6468321""",Go Sedan,Anand Vihar ISBT,Kherki Daula Toll,18.2,,1.0,Driver is not moving towards pickup location,,,,,,,,,
2024-07-10,08:26:37,"""CNR2739123""",Completed,"""CID8966431""",Auto,Paschim Vihar,Keshav Puram,13.0,36.4,,,,,,,323.0,19.45,4.2,4.0,UPI
2024-03-12,18:37:11,"""CNR7688779""",Completed,"""CID1116691""",Auto,Shastri Nagar,Laxmi Nagar,13.9,20.5,,,,,,,655.0,21.74,4.5,4.2,Cash
2024-03-02,17:28:37,"""CNR5095836""",Completed,"""CID5885696""",eBike,Barakhamba Road,Kirti Nagar,9.4,24.0,,,,,,,1147.0,2.87,3.9,4.7,UPI
2024-06-06,11:56:19,"""CNR4388148""",Completed,"""CID4603926""",Premier Sedan,Govindpuri,Saidulajab,7.9,21.5,,,,,,,410.0,28.78,5.0,4.1,UPI
2024-07-22,11:56:54,"""CNR5953539""",Completed,"""CID5193988""",Auto,IMT Manesar,Okhla,14.3,42.8,,,,,,,976.0,28.03,4.9,4.8,Credit Card
2024-08-21,21:16:47,"""CNR2300958""",Completed,"""CID4253191""",Auto,Pitampura,Ashok Vihar,5.4,20.8,,,,,,,168.0,13.45,3.5,4.9,Uber Wallet
2024-04-01,10:36:05,"""CNR2328423""",Completed,"""CID2274724""",Premier Sedan,DLF City Court,Dilshad Garden,7.8,18.5,,,,,,,298.0,28.35,4.5,3.2,UPI
2024-06-28,11:28:09,"""CNR2462885""",Completed,"""CID9749698""",Bike,Kaushambi,Connaught Place,12.4,26.3,,,,,,,426.0,22.81,4.1,4.6,Cash
2024-09-12,19:04:26,"""CNR3596862""",Completed,"""CID8607255""",Premier Sedan,New Delhi Railway Station,Sonipat,7.2,19.5,,,,,,,278.0,3.98,4.1,4.5,Cash
2024-02-08,16:17:19,"""CNR8366713""",Completed,"""CID2981690""",Go Sedan,Peeragarhi,Kalkaji,14.7,42.4,,,,,,,214.0,16.92,3.6,4.2,Cash
2024-10-05,21:31:59,"""CNR6524251""",Completed,"""CID2730814""",Premier Sedan,Pataudi Chowk,Chirag Delhi,4.1,20.7,,,,,,,354.0,27.15,3.2,4.1,UPI
2024-09-20,12:47:55,"""CNR1019239""",Completed,"""CID6298660""",Auto,Green Park,Gurgaon Sector 56,10.8,38.6,,,,,,,337.0,18.67,4.6,4.2,Cash
2024-10-12,19:10:49,"""CNR9300459""",Completed,"""CID4046718""",Bike,Paschim Vihar,Mandi House,14.3,18.5,,,,,,,109.0,23.56,4.2,4.6,Cash
2024-03-09,21:53:41,"""CNR5118383""",Cancelled by Driver,"""CID3553082""",Auto,Welcome,Green Park,10.8,,,,1.0,The customer was coughing/sick,,,,,,,
2024-09-29,18:58:20,"""CNR3874743""",No Driver Found,"""CID3592862""",Bike,Saket A Block,Ghitorni Village,,,,,,,,,,,,,
2024-09-04,04:48:38,"""CNR9072111""",Completed,"""CID7667553""",eBike,Gurgaon Sector 29,Subhash Nagar,6.3,20.6,,,,,,,327.0,13.25,3.3,4.1,UPI
2024-07-22,15:12:50,"""CNR2948891""",Completed,"""CID6842990""",Premier Sedan,Meerut,Hauz Rani,12.2,44.5,,,,,,,355.0,27.94,4.1,4.7,UPI
2024-03-13,13:18:00,"""CNR5046560""",Completed,"""CID5844886""",Go Mini,Botanical Garden,Greater Noida,13.7,39.3,,,,,,,99.0,4.0,4.1,3.9,UPI
2024-07-15,11:00:44,"""CNR4782327""",Completed,"""CID6494605""",Premier Sedan,Anand Vihar,Gurgaon Railway Station,10.6,19.4,,,,,,,134.0,23.01,4.3,4.6,UPI
2024-02-14,08:42:06,"""CNR7341455""",Completed,"""CID1325881""",Go Mini,Jhilmil,Jasola,14.9,41.1,,,,,,,328.0,23.49,4.2,3.6,UPI
2024-10-19,10:22:33,"""CNR5252935""",Completed,"""CID4690387""",Go Sedan,Botanical Garden,Adarsh Nagar,10.9,40.6,,,,,,,615.0,6.45,4.2,4.1,Debit Card
2024-04-05,16:18:42,"""CNR6663011""",Completed,"""CID8467169""",Bike,Badshahpur,Tagore Garden,13.0,17.7,,,,,,,71.0,44.18,3.3,4.2,Debit Card
2024-10-14,20:22:04,"""CNR1499125""",Completed,"""CID2460096""",Go Sedan,Arjangarh,Keshav Puram,3.4,43.9,,,,,,,203.0,33.87,4.1,4.3,Cash
2024-06-08,20:37:07,"""CNR6252908""",Cancelled by Driver,"""CID7335195""",Go Mini,Karol Bagh,Vidhan Sabha,3.1,,,,1.0,More than permitted people in there,,,,,,,
2024-12-17,23:04:20,"""CNR6913333""",Completed,"""CID5227704""",eBike,Govindpuri,Vinobapuri,8.0,24.2,,,,,,,62.0,27.56,4.1,4.1,UPI
2024-12-24,23:18:29,"""CNR5314398""",Completed,"""CID3674554""",Go Sedan,Paschim Vihar,Badarpur,11.1,22.6,,,,,,,831.0,30.14,4.8,4.1,UPI
2024-10-31,16:35:58,"""CNR6370796""",Completed,"""CID9457047""",Go Mini,MG Road,Anand Vihar ISBT,9.9,27.6,,,,,,,117.0,41.52,4.4,3.9,Cash
2024-09-04,10:26:56,"""CNR7910717""",Completed,"""CID9451534""",Go Mini,Pataudi Chowk,Lajpat Nagar,13.9,18.2,,,,,,,282.0,37.04,4.1,4.6,Uber Wallet
2024-05-04,07:44:18,"""CNR9340853""",Cancelled by Driver,"""CID4837344""",Go Sedan,Ghaziabad,Connaught Place,3.9,,,,1.0,Customer related issue,,,,,,,
2024-08-09,22:47:29,"""CNR4152599""",Completed,"""CID3487976""",Auto,South Extension,New Colony,10.5,27.0,,,,,,,2230.0,40.05,3.0,4.5,UPI
2024-05-12,18:32:26,"""CNR9142738""",Completed,"""CID5564239""",Go Mini,Lal Quila,Peeragarhi,9.5,44.5,,,,,,,472.0,30.08,4.3,5.0,UPI
2024-08-12,17:49:12,"""CNR2969437""",Cancelled by Driver,"""CID9423786""",Premier Sedan,Civil Lines Gurgaon,Gwal Pahari,7.4,,,,1.0,More than permitted people in there,,,,,,,
2024-08-14,18:26:34,"""CNR4891168""",Cancelled by Driver,"""CID6894492""",Go Mini,Greater Noida,Delhi Gate,4.2,,,,1.0,More than permitted people in there,,,,,,,
2024-03-29,10:52:18,"""CNR7963187""",Cancelled by Customer,"""CID5646802""",Go Sedan,Panipat,Tilak Nagar,10.2,,1.0,Wrong Address,,,,,,,,,
2024-05-15,20:17:05,"""CNR7807938""",No Driver Found,"""CID7306309""",Bike,IIT Delhi,Central Secretariat,,,,,,,,,,,,,
2024-10-02,17:34:11,"""CNR6823912""",Completed,"""CID1748826""",Go Sedan,Noida Sector 62,Model Town,13.1,34.2,,,,,,,369.0,23.39,4.2,4.9,UPI
2024-03-02,19:21:58,"""CNR3304998""",Cancelled by Driver,"""CID3797175""",Go Sedan,Rajouri Garden,Arjangarh,3.5,,,,1.0,Personal & Car related issues,,,,,,,
2024-11-05,14:01:32,"""CNR6535189""",Completed,"""CID7873687""",Auto,Tughlakabad,Noida Sector 62,10.9,36.3,,,,,,,391.0,28.03,4.4,4.2,Cash
2024-03-11,12:37:35,"""CNR2994599""",Cancelled by Customer,"""CID3924328""",Auto,Delhi Gate,Peeragarhi,17.5,,1.0,Wrong Address,,,,,,,,,
2024-09-14,21:58:07,"""CNR2364016""",Cancelled by Customer,"""CID2110127""",Go Mini,Faridabad Sector 15,Punjabi Bagh,15.9,,1.0,Driver is not moving towards pickup location,,,,,,,,,
2024-10-15,16:48:51,"""CNR1542562""",Completed,"""CID4912131""",Auto,Saket A Block,Hauz Khas,8.4,31.4,,,,,,,316.0,11.01,4.2,4.7,Debit Card
2024-11-25,05:43:50,"""CNR8411631""",Completed,"""CID5209155""",eBike,Mundka,Nirman Vihar,14.1,20.3,,,,,,,398.0,35.53,3.9,5.0,UPI
2024-08-04,11:06:21,"""CNR7932519""",Incomplete,"""CID4394065""",Auto,Sarai Kale Khan,Udyog Bhawan,7.7,23.6,,,,,1.0,Customer Demand,271.0,18.13,,,UPI
2024-10-16,11:32:02,"""CNR2612184""",Completed,"""CID4405670""",Go Mini,Indraprastha,Rithala,13.3,21.5,,,,,,,967.0,33.58,4.9,3.6,UPI
2024-09-10,19:49:55,"""CNR3447713""",Completed,"""CID5955912""",Go Mini,Badarpur,Sonipat,8.0,21.1,,,,,,,485.0,4.87,3.9,4.4,UPI
2024-05-29,01:31:18,"""CNR2799373""",Cancelled by Driver,"""CID9271532""",Premier Sedan,Badshahpur,Hauz Khas,11.6,,,,1.0,Customer related issue,,,,,,,
2024-09-23,09:55:52,"""CNR5553483""",Cancelled by Driver,"""CID7134832""",Go Mini,Sarojini Nagar,Bahadurgarh,10.2,,,,1.0,Customer related issue,,,,,,,
2024-11-21,08:19:29,"""CNR5372623""",Completed,"""CID7146388""",Bike,South Extension,Anand Vihar ISBT,11.4,33.3,,,,,,,140.0,29.72,5.0,4.9,Uber Wallet
2024-03-02,08:12:25,"""CNR2452742""",No Driver Found,"""CID3648329""",Premier Sedan,Indraprastha,Saidulajab,,,,,,,,,,,,,
2024-11-19,15:19:20,"""CNR9029366""",Completed,"""CID1184589""",Auto,Udyog Vihar,Gurgaon Railway Station,5.9,44.3,,,,,,,522.0,37.36,3.8,4.2,UPI
2024-04-30,19:47:02,"""CNR6471822""",Completed,"""CID4520970""",Bike,Tilak Nagar,Nirman Vihar,7.6,17.9,,,,,,,515.0,12.21,4.2,4.7,Cash
2024-11-03,13:25:57,"""CNR5213999""",Completed,"""CID1596363""",Auto,Badshahpur,Aya Nagar,5.3,41.8,,,,,,,443.0,18.3,3.9,4.5,UPI
2024-04-15,18:03:49,"""CNR1302122""",Completed,"""CID8794111""",Bike,Keshav Puram,Jama Masjid,3.8,25.1,,,,,,,328.0,12.31,4.6,4.6,UPI
2024-12-08,21:42:00,"""CNR8468066""",Completed,"""CID6920692""",eBike,Shahdara,Old Gurgaon,4.0,16.0,,,,,,,378.0,48.0,3.4,4.5,UPI
2024-11-05,18:56:45,"""CNR6962795""",Completed,"""CID7964300""",eBike,Mayur Vihar,Mandi House,2.2,40.7,,,,,,,1376.0,25.99,3.9,4.1,UPI
2024-07-21,11:20:46,"""CNR9279990""",Completed,"""CID5318534""",Go Mini,Inderlok,Gwal Pahari,13.8,35.4,,,,,,,1263.0,9.47,4.2,4.6,Cash
2024-02-02,15:23:49,"""CNR4768003""",Completed,"""CID6321296""",Premier Sedan,Lok Kalyan Marg,Seelampur,12.7,23.7,,,,,,,131.0,43.66,3.1,4.2,UPI
2024-08-17,14:11:33,"""CNR7188411""",Completed,"""CID7670245""",Premier Sedan,Central Secretariat,Ghitorni,2.1,34.6,,,,,,,1039.0,18.52,4.2,3.4,Cash
2024-09-04,11:52:56,"""CNR3854924""",Incomplete,"""CID8774357""",Auto,Hauz Rani,Shastri Park,2.1,25.0,,,,,1.0,Customer Demand,346.0,10.36,,,Debit Card
2024-02-29,22:11:00,"""CNR6801237""",Completed,"""CID1354964""",Go Sedan,Sadar Bazar Gurgaon,DLF City Court,14.6,44.5,,,,,,,459.0,7.92,4.3,5.0,UPI
2024-11-10,19:29:55,"""CNR8272919""",Completed,"""CID2878326""",Go Mini,Udyog Vihar Phase 4,Kanhaiya Nagar,10.1,27.1,,,,,,,633.0,26.99,3.8,4.9,UPI
2024-12-08,19:28:28,"""CNR6964968""",Cancelled by Customer,"""CID9413679""",Go Sedan,Ghaziabad,Shastri Nagar,9.5,,1.0,Wrong Address,,,,,,,,,
2024-06-13,19:17:14,"""CNR9336208""",Cancelled by Driver,"""CID8833164""",Premier Sedan,Indirapuram,Chirag Delhi,11.7,,,,1.0,Personal & Car related issues,,,,,,,
2024-11-09,15:28:25,"""CNR8789696""",No Driver Found,"""CID3681128""",Auto,Sushant Lok,Vishwavidyalaya,,,,,,,,,,,,,
2024-05-22,16:37:17,"""CNR2974981""",Completed,"""CID2147003""",Go Sedan,IMT Manesar,Peeragarhi,3.6,34.9,,,,,,,355.0,4.46,4.2,4.8,UPI
2024-02-18,19:06:46,"""CNR2980025""",Cancelled by Driver,"""CID2144958""",Auto,Netaji Subhash Place,Malviya Nagar,7.3,,,,1.0,Customer related issue,,,,,,,
2024-08-30,22:21:54,"""CNR8441504""",Completed,"""CID3243324""",Go Sedan,Lal Quila,Subhash Chowk,13.5,35.5,,,,,,,306.0,31.81,4.3,5.0,UPI
2024-07-25,05:08:26,"""CNR6023111""",Incomplete,"""CID3158705""",Bike,Qutub Minar,Hauz Khas,2.8,11.5,,,,,1.0,Vehicle Breakdown,354.0,6.09,,,UPI
2024-03-28,18:34:41,"""CNR5223314""",Completed,"""CID3357352""",Auto,Ashram,Udyog Vihar Phase 4,12.0,21.9,,,,,,,808.0,10.8,3.8,4.7,UPI
2024-01-02,13:00:37,"""CNR8478513""",Cancelled by Driver,"""CID8909031""",Go Mini,Ardee City,Udyog Vihar Phase 4,11.7,,,,1.0,Personal & Car related issues,,,,,,,
2024-06-26,18:28:30,"""CNR1662082""",No Driver Found,"""CID1384442""",Auto,Shahdara,Ambience Mall,,,,,,,,,,,,,
2024-05-16,17:57:14,"""CNR3619474""",No Driver Found,"""CID3375329""",Bike,Jhilmil,Anand Vihar ISBT,,,,,,,,,,,,,
2024-07-30,14:09:13,"""CNR8663583""",Completed,"""CID9241398""",Go Sedan,Lajpat Nagar,Dwarka Mor,5.7,27.4,,,,,,,986.0,38.15,4.2,4.2,UPI
2024-11-21,14:00:24,"""CNR9488427""",Completed,"""CID7423339""",Go Mini,Gurgaon Sector 56,Gurgaon Railway Station,11.8,20.2,,,,,,,270.0,5.24,4.3,4.9,Cash
2024-08-11,05:54:23,"""CNR2542207""",Completed,"""CID3526424""",Premier Sedan,Hauz Khas,Indraprastha,13.0,24.3,,,,,,,1198.0,6.13,4.2,4.6,UPI
2024-10-28,10:53:27,"""CNR5079714""",Completed,"""CID9173522""",Auto,Gurgaon Sector 29,Hauz Rani,10.4,34.0,,,,,,,338.0,35.33,3.3,3.3,Uber Wallet
2024-11-07,06:19:59,"""CNR2542728""",Completed,"""CID2405033""",Go Sedan,New Delhi Railway Station,Subhash Chowk,12.9,15.7,,,,,,,296.0,20.23,4.3,3.9,Cash
2024-11-25,12:00:12,"""CNR4243842""",Completed,"""CID3357057""",Go Mini,Laxmi Nagar,Anand Vihar,2.5,38.6,,,,,,,51.0,13.49,4.7,4.3,Debit Card
2024-03-07,06:35:51,"""CNR6635625""",Cancelled by Customer,"""CID9652612""",Bike,Kalkaji,Hauz Khas,15.1,,1.0,Wrong Address,,,,,,,,,
2024-04-15,13:31:39,"""CNR1458105""",Completed,"""CID1045948""",Auto,Chhatarpur,Nirman Vihar,13.6,24.5,,,,,,,584.0,25.46,4.2,4.7,UPI
2024-01-28,11:34:03,"""CNR9679239""",Completed,"""CID6565006""",Auto,Jahangirpuri,Central Secretariat,13.6,38.5,,,,,,,104.0,6.16,4.3,4.4,UPI
2024-09-06,05:30:31,"""CNR3919599""",Completed,"""CID7567249""",Go Sedan,Shivaji Park,Hauz Khas,8.7,25.0,,,,,,,702.0,46.33,3.9,4.8,Uber Wallet
2024-06-25,08:47:56,"""CNR6681580""",Cancelled by Customer,"""CID5559410""",Go Mini,Inderlok,Moti Nagar,6.3,,1.0,Driver asked to cancel,,,,,,,,,
2024-04-26,20:54:06,"""CNR6700246""",Cancelled by Customer,"""CID3421879""",Auto,Indraprastha,Yamuna Bank,16.3,,1.0,Change of plans,,,,,,,,,
2024-07-01,17:31:42,"""CNR4393395""",Completed,"""CID2343397""",Go Sedan,Rajiv Nagar,Tagore Garden,8.4,44.3,,,,,,,253.0,18.06,4.6,4.6,UPI
2024-12-14,11:02:33,"""CNR6626694""",Completed,"""CID8079132""",Uber XL,Green Park,Akshardham,9.7,41.0,,,,,,,1086.0,36.14,4.9,4.6,UPI
2024-12-21,10:04:51,"""CNR3120105""",Completed,"""CID9682564""",eBike,Ashram,Saket,6.5,37.7,,,,,,,433.0,31.66,4.1,4.4,UPI
2024-03-09,11:16:58,"""CNR9640256""",Cancelled by Driver,"""CID4598090""",Premier Sedan,Munirka,Greater Noida,4.7,,,,1.0,Customer related issue,,,,,,,
2024-05-03,16:41:14,"""CNR9840526""",Completed,"""CID3576558""",Go Mini,Gwal Pahari,Tughlakabad,10.9,36.3,,,,,,,92.0,14.63,3.2,4.6,Cash
2024-04-28,19:11:53,"""CNR2241100""",Cancelled by Driver,"""CID1846303""",Auto,Samaypur Badli,Inderlok,7.4,,,,1.0,The customer was coughing/sick,,,,,,,
2024-07-27,12:20:32,"""CNR4461594""",Incomplete,"""CID4613565""",eBike,Peeragarhi,Udyog Vihar Phase 4,6.8,16.6,,,,,1.0,Other Issue,1081.0,15.98,,,UPI
2024-04-23,17:11:31,"""CNR9613606""",Cancelled by Driver,"""CID7220424""",Auto,Vishwavidyalaya,Greater Noida,10.9,,,,1.0,The customer was coughing/sick,,,,,,,
2024-08-07,10:57:52,"""CNR8651488""",No Driver Found,"""CID2474771""",Go Sedan,Pataudi Chowk,AIIMS,,,,,,,,,,,,,
